,
258,35
235,2
231,7
230,1
229,1
225,5
218,7
215,9
214,2
209,4
207,2
198,17
180,3
178,1
169,7
166,2
151,15
149,104
145,9
143,6
139,12
136,23
133,14
130,25
129,15
128,11
127,18
125,346
124,10
119,6
118,46
114,1
112,66
110,107
109,3
108,7
107,21
105,1
103,1
101,3
100,273
99,44
96,15
93,23
92,7
89,10
84,9
83,6
82,14
81,15
80,1
79,73
77,18
75,15
74,46
73,169
72,2
70,169
69,261
68,5
65,2
64,14
63,7
62,1
61,42
60,123
59,2
58,16
57,13
56,178
54,97
52,117
51,175
50,249
49,3
48,29
47,155
46,77
44,250
43,60
42,95
41,13
40,54
39,118
38,446
37,13
36,4
35,28
34,135
33,18
32,37
31,152
30,101
29,6
28,197
27,116
26,100
25,329
24,159
23,99
22,257
21,378
20,733
19,420
18,663
17,833
16,431
15,359
14,471
13,371
12,766
11,795
10,882
9,1375
8,969
7,1726
6,2670
5,1838
4,4463
3,89811
2,158400
1,366547
