0,1
258,55
214,9
209,15
207,9
203,7
198,23
180,2
178,6
167,2
166,8
163,3
162,2
157,9
149,120
148,1
145,9
139,26
136,11
129,33
128,27
125,97
124,7
119,7
118,17
115,2
112,49
110,69
108,7
107,33
105,2
103,2
102,3
101,4
100,64
96,1
93,36
92,4
86,14
85,1
84,14
83,6
82,36
80,1
79,78
77,14
75,7
74,16
73,85
72,4
71,2
70,137
69,85
68,5
67,2
65,3
64,17
63,7
62,1
61,2
60,69
59,6
58,19
57,41
56,217
54,229
53,19
52,114
51,213
50,40
49,20
48,10
47,64
46,21
44,336
43,124
42,90
41,21
40,93
39,170
38,41
37,17
36,9
35,38
34,75
33,68
32,15
31,97
30,220
29,31
28,250
27,88
26,159
25,377
24,55
23,75
22,160
21,315
20,556
19,270
18,625
17,547
16,592
15,372
14,387
13,291
12,640
11,850
10,798
9,1077
8,1018
7,1509
6,2640
5,1529
4,4192
3,88862
2,141111
1,376888
