0,1,2,3,4,5,6
tbl_89162,0,0,14,0,0,0
tbl_85964,0,8,24,0,0,0
tbl_84963,0,7,21,0,0,0
tbl_85004,7,50,57,0,0,0
tbl_88210,0,14,21,0,0,0
tbl_86158,0,8,24,0,0,0
tbl_85261,14,14,48,0,0,0
tbl_84919,12,12,48,0,0,0
tbl_85999,16,16,56,0,0,0
tbl_87801,0,7,21,0,0,0
tbl_86192,0,8,24,0,0,0
tbl_84950,7,7,21,0,0,0
tbl_85968,8,214,109,0,0,0
tbl_86157,8,8,32,0,0,0
tbl_85963,8,8,32,0,0,0
tbl_85921,16,16,63,0,0,0
tbl_85086,0,7,21,0,0,0
tbl_87766,0,7,21,0,0,0
tbl_84962,7,7,28,0,0,0
tbl_88209,7,32,21,0,0,0
tbl_86330,8,8,32,0,0,0
tbl_87993,7,7,21,0,0,0
tbl_85848,8,8,38,0,0,0
tbl_87802,7,48,75,0,48,0
tbl_86193,8,8,32,0,0,0
tbl_85085,7,13,28,0,0,0
tbl_87765,7,7,28,0,0,0
tbl_86271,0,16,24,0,0,0
tbl_84889,0,7,21,0,0,0
tbl_84888,7,33,40,0,0,0
tbl_86272,8,8,24,0,0,0
tbl_84893,0,14,21,0,0,0
tbl_85161,0,14,21,0,0,0
tbl_84892,7,7,41,0,0,0
tbl_85160,7,7,21,0,0,0
tbl_85001,0,7,21,0,0,0
tbl_85002,7,7,28,0,0,0
tbl_85966,0,8,24,0,0,0
tbl_85277,0,14,21,0,0,0
tbl_85965,8,8,32,0,0,0
tbl_85276,7,7,21,0,0,0
tbl_84732,0,7,21,0,0,0
tbl_84733,7,171,96,0,0,0
tbl_86005,0,8,24,0,0,0
tbl_86006,8,50,44,0,0,0
tbl_86148,0,0,8,0,0,0
tbl_87937,0,14,21,0,0,0
tbl_87938,7,7,45,0,0,0
tbl_127412,0,0,7,0,0,0
tbl_85735,0,8,24,0,0,0
tbl_85736,8,8,39,0,0,0
tbl_85759,0,8,24,0,0,0
tbl_85758,8,45,55,0,0,0
tbl_86126,0,0,16,0,0,0
tbl_84734,0,7,21,0,0,0
tbl_84735,7,7,34,0,0,0
tbl_85878,0,8,24,0,0,0
tbl_85877,8,8,32,0,0,0
tbl_85259,14,14,49,0,0,0
tbl_84982,14,14,49,0,0,0
tbl_127391,0,8,18,0,0,0
tbl_85983,14,14,49,0,0,0
tbl_88305,14,14,49,0,0,0
tbl_84998,12,12,43,0,0,0
tbl_202912,4,4,14,0,0,0
tbl_85676,7,0,7,0,0,0
tbl_85734,7,150,91,0,0,0
tbl_86292,7,250,95,0,0,0
tbl_86335,7,67,42,0,0,0
tbl_85663,7,0,7,0,0,0
tbl_169322,4,0,8,0,0,0
tbl_79570,7,7,14,0,0,0
tbl_79853,6,29,31,0,0,0
tbl_169333,4,0,9,0,0,0
tbl_79567,7,21,0,0,0,0
tbl_79800,10,10,42,0,0,0
tbl_10108,0,3019,433,0,3,1
tbl_12551,12,2360,431,0,0,4
tbl_12607,6,0,0,0,0,0
tbl_14583,0,737,0,0,0,1
tbl_19794,0,2498,451,0,5,0
tbl_27667,78,376,503,0,14,0
tbl_29207,0,192,1367,0,6,0
tbl_35003,12,6,0,0,0,0
tbl_77279,6,329,24,0,0,0
tbl_77357,6,342,27,0,0,0
tbl_88198,0,0,7,0,0,0
tbl_85153,0,0,7,0,0,0
tbl_90209,0,0,7,0,0,0
tbl_19075,10,5,20,0,0,0
tbl_89184,0,0,7,0,0,0
tbl_85192,0,0,7,0,0,0
tbl_90335,0,0,7,0,0,0
tbl_16060,10,5,20,0,0,0
tbl_40397,0,0,0,0,0,0
tbl_40396,0,0,0,0,0,0
tbl_79568,7,7,0,0,0,0
tbl_79834,0,0,14,0,0,0
tbl_79553,7,0,7,0,0,0
tbl_79638,6,47,65,0,0,0
tbl_79769,7,80,40,0,0,0
tbl_79944,6,0,19,0,0,0
tbl_79966,7,14,29,0,0,0
tbl_12719,6,0,0,0,0,0
tbl_35059,12,6,0,0,0,0
tbl_161218,14,101,63,0,5,0
tbl_21386,8,4,16,0,0,0
tbl_12327,10,5,20,0,0,0
tbl_8226,9,9,0,0,0,0
tbl_9968,0,278,65,0,0,0
tbl_10082,0,278,64,0,0,0
tbl_14716,0,278,65,0,0,0
tbl_18751,9,9,0,0,0,0
tbl_19094,0,278,65,0,0,0
tbl_20894,0,278,66,0,0,0
tbl_250721,9,0,9,0,0,0
tbl_88177,0,0,14,0,0,0
tbl_89163,0,24,47,0,0,0
tbl_85132,0,0,14,0,0,0
tbl_90188,0,20,51,0,0,0
tbl_85170,0,0,14,0,0,0
tbl_90312,0,0,28,0,0,0
tbl_13674,2,0,0,0,0,0
tbl_13673,2,0,0,0,0,0
tbl_16804,0,118,6,0,0,0
tbl_21654,0,320,0,0,20,0
tbl_28599,10,79,0,0,0,0
tbl_37861,7,0,7,0,0,0
tbl_149875,12,24,52,0,0,0
tbl_150269,12,13,50,0,0,0
tbl_150416,0,7,0,0,0,0
tbl_150693,12,19,42,0,0,0
tbl_151039,0,12,0,0,0,0
tbl_151059,0,22,28,0,0,0
tbl_151098,12,54,80,0,0,0
tbl_151103,12,24,42,0,0,0
tbl_151107,12,24,42,0,0,0
tbl_151159,12,32,72,0,0,0
tbl_151164,12,69,48,0,0,0
tbl_151168,12,60,54,0,0,0
tbl_151221,12,33,36,0,0,0
tbl_151225,12,26,42,0,0,0
tbl_151267,12,24,36,0,0,0
tbl_151268,12,24,42,0,0,0
tbl_151307,12,79,49,0,0,0
tbl_151312,12,165,133,0,0,0
tbl_151352,12,64,52,0,0,0
tbl_151355,12,59,58,0,0,0
tbl_151364,12,12,192,0,0,0
